runtime_days,infected,reinfected,long_covid_cases,min_productivity,param_name,param_value,run,agents,backend
40,5,0,0,99.96000000000001,covid_spread_chance_pct,2,0,10000,gpu
51,40,0,7,99.81,covid_spread_chance_pct,2,1,10000,gpu
40,5,0,0,99.97,covid_spread_chance_pct,2,2,10000,gpu
40,5,0,0,99.97,covid_spread_chance_pct,2,3,10000,gpu
42,7,0,0,99.95,covid_spread_chance_pct,2,4,10000,gpu
46,8,0,0,99.97,covid_spread_chance_pct,2,5,10000,gpu
46,13,0,1,99.92999999999999,covid_spread_chance_pct,2,6,10000,gpu
65,56,0,1,99.674666223526,covid_spread_chance_pct,2,7,10000,gpu
44,8,0,0,99.92,covid_spread_chance_pct,2,8,10000,gpu
43,8,0,3,99.96000000000001,covid_spread_chance_pct,2,9,10000,gpu
40,5,0,0,99.96000000000001,covid_spread_chance_pct,2,10,10000,gpu
49,10,0,0,99.96000000000001,covid_spread_chance_pct,2,11,10000,gpu
50,11,0,2,99.97339198589324,covid_spread_chance_pct,2,12,10000,gpu
44,7,0,1,99.9674638080597,covid_spread_chance_pct,2,13,10000,gpu
50,20,0,3,99.91,covid_spread_chance_pct,2,14,10000,gpu
40,5,0,0,99.99,covid_spread_chance_pct,2,15,10000,gpu
44,7,0,2,99.96000000000001,covid_spread_chance_pct,2,16,10000,gpu
42,7,0,0,99.95,covid_spread_chance_pct,2,17,10000,gpu
55,21,0,1,99.9,covid_spread_chance_pct,2,18,10000,gpu
42,7,0,0,99.95,covid_spread_chance_pct,2,19,10000,gpu
43,9,0,1,99.92999999999999,covid_spread_chance_pct,2,20,10000,gpu
46,9,0,1,99.96508047878743,covid_spread_chance_pct,2,21,10000,gpu
47,12,0,2,99.91,covid_spread_chance_pct,2,22,10000,gpu
42,7,0,0,99.96000000000001,covid_spread_chance_pct,2,23,10000,gpu
54,26,0,2,99.83999999999999,covid_spread_chance_pct,2,24,10000,gpu
47,15,0,1,99.93312320113182,covid_spread_chance_pct,2,25,10000,gpu
44,8,0,1,99.94,covid_spread_chance_pct,2,26,10000,gpu
44,9,0,0,99.92999999999999,covid_spread_chance_pct,2,27,10000,gpu
73,79,0,10,99.8412683582306,covid_spread_chance_pct,2,28,10000,gpu
46,10,0,0,99.97,covid_spread_chance_pct,2,29,10000,gpu
41,6,0,1,99.98,covid_spread_chance_pct,2,30,10000,gpu
53,16,0,1,99.89,covid_spread_chance_pct,2,31,10000,gpu
41,6,0,0,99.97,covid_spread_chance_pct,2,32,10000,gpu
56,25,0,1,99.92335973441601,covid_spread_chance_pct,2,33,10000,gpu
40,5,0,1,99.97,covid_spread_chance_pct,2,34,10000,gpu
52,15,0,1,99.89,covid_spread_chance_pct,2,35,10000,gpu
55,30,0,0,99.77000000000001,covid_spread_chance_pct,2,36,10000,gpu
49,15,0,1,99.92,covid_spread_chance_pct,2,37,10000,gpu
45,13,0,2,99.93381958723069,covid_spread_chance_pct,2,38,10000,gpu
41,6,0,0,99.98,covid_spread_chance_pct,2,39,10000,gpu
49,23,0,5,99.9,covid_spread_chance_pct,2,40,10000,gpu
50,9,0,0,99.93613302916289,covid_spread_chance_pct,2,41,10000,gpu
43,9,0,1,99.96000000000001,covid_spread_chance_pct,2,42,10000,gpu
41,6,0,0,99.96000000000001,covid_spread_chance_pct,2,43,10000,gpu
40,5,0,1,99.95407580554485,covid_spread_chance_pct,2,44,10000,gpu
45,11,0,1,99.94,covid_spread_chance_pct,2,45,10000,gpu
48,22,0,0,99.82,covid_spread_chance_pct,2,46,10000,gpu
40,5,0,0,99.96000000000001,covid_spread_chance_pct,2,47,10000,gpu
41,6,0,0,99.97,covid_spread_chance_pct,2,48,10000,gpu
44,9,0,1,99.97,covid_spread_chance_pct,2,49,10000,gpu
40,5,0,0,99.96000000000001,covid_spread_chance_pct,5,0,10000,gpu
81,364,0,21,98.32333795547486,covid_spread_chance_pct,5,1,10000,gpu
79,162,0,13,99.44960895538331,covid_spread_chance_pct,5,2,10000,gpu
54,36,0,0,99.83,covid_spread_chance_pct,5,3,10000,gpu
43,8,0,0,99.95,covid_spread_chance_pct,5,4,10000,gpu
50,20,0,0,99.97,covid_spread_chance_pct,5,5,10000,gpu
50,23,0,4,99.88,covid_spread_chance_pct,5,6,10000,gpu
233,2825,503,141,84.80450378417969,covid_spread_chance_pct,5,7,10000,gpu
86,192,0,12,98.92462922096253,covid_spread_chance_pct,5,8,10000,gpu
51,27,0,2,99.91,covid_spread_chance_pct,5,9,10000,gpu
48,9,0,0,99.96000000000001,covid_spread_chance_pct,5,10,10000,gpu
69,41,0,1,99.90687243282795,covid_spread_chance_pct,5,11,10000,gpu
139,1792,101,184,92.38605712890624,covid_spread_chance_pct,5,12,10000,gpu
43,9,0,0,99.96000000000001,covid_spread_chance_pct,5,13,10000,gpu
103,299,3,16,98.30938287258148,covid_spread_chance_pct,5,14,10000,gpu
89,84,0,6,99.67352460861207,covid_spread_chance_pct,5,15,10000,gpu
60,93,0,8,99.72999999999999,covid_spread_chance_pct,5,16,10000,gpu
43,10,0,0,99.92999999999999,covid_spread_chance_pct,5,17,10000,gpu
64,92,0,5,99.64,covid_spread_chance_pct,5,18,10000,gpu
48,13,0,0,99.92,covid_spread_chance_pct,5,19,10000,gpu
103,232,0,17,98.89860663414002,covid_spread_chance_pct,5,20,10000,gpu
87,141,0,10,99.49710161685944,covid_spread_chance_pct,5,21,10000,gpu
205,2409,251,171,89.8061727142334,covid_spread_chance_pct,5,22,10000,gpu
58,18,0,0,99.88,covid_spread_chance_pct,5,23,10000,gpu
94,449,0,26,98.18716957092285,covid_spread_chance_pct,5,24,10000,gpu
68,105,0,5,99.49501034975053,covid_spread_chance_pct,5,25,10000,gpu
44,10,0,2,99.92,covid_spread_chance_pct,5,26,10000,gpu
100,178,0,11,99.16350512742996,covid_spread_chance_pct,5,27,10000,gpu
249,3681,966,179,80.4654948425293,covid_spread_chance_pct,5,28,10000,gpu
56,38,0,2,99.83999999999999,covid_spread_chance_pct,5,29,10000,gpu
51,14,0,2,99.94,covid_spread_chance_pct,5,30,10000,gpu
88,486,0,39,97.44650619506837,covid_spread_chance_pct,5,31,10000,gpu
120,461,7,37,98.27299325942992,covid_spread_chance_pct,5,32,10000,gpu
225,4248,1244,305,81.52296813964843,covid_spread_chance_pct,5,33,10000,gpu
40,5,0,1,99.97,covid_spread_chance_pct,5,34,10000,gpu
122,472,8,23,97.85239826202393,covid_spread_chance_pct,5,35,10000,gpu
58,81,0,1,99.49,covid_spread_chance_pct,5,36,10000,gpu
196,1508,94,74,93.00429767608642,covid_spread_chance_pct,5,37,10000,gpu
227,3328,689,238,82.15401809692383,covid_spread_chance_pct,5,38,10000,gpu
45,10,0,0,99.94,covid_spread_chance_pct,5,39,10000,gpu
62,82,0,9,99.61288974761963,covid_spread_chance_pct,5,40,10000,gpu
72,39,0,5,99.80613302916288,covid_spread_chance_pct,5,41,10000,gpu
97,211,0,18,99.11045568466187,covid_spread_chance_pct,5,42,10000,gpu
56,23,0,0,99.92,covid_spread_chance_pct,5,43,10000,gpu
47,9,0,1,99.94407580554486,covid_spread_chance_pct,5,44,10000,gpu
80,263,0,18,99.03444917678833,covid_spread_chance_pct,5,45,10000,gpu
95,469,0,30,97.30494504928589,covid_spread_chance_pct,5,46,10000,gpu
79,78,0,3,99.8,covid_spread_chance_pct,5,47,10000,gpu
98,465,0,37,97.77191624641418,covid_spread_chance_pct,5,48,10000,gpu
56,32,0,2,99.8853096216917,covid_spread_chance_pct,5,49,10000,gpu
247,8365,10923,913,55.17100402832031,covid_spread_chance_pct,10,0,10000,gpu
98,5931,6,353,74.10324523925782,covid_spread_chance_pct,10,1,10000,gpu
89,5575,0,289,75.68251266479493,covid_spread_chance_pct,10,2,10000,gpu
218,8095,9122,697,56.20142700195312,covid_spread_chance_pct,10,3,10000,gpu
45,15,0,1,99.91,covid_spread_chance_pct,10,4,10000,gpu
86,6010,0,492,70.01083724975585,covid_spread_chance_pct,10,5,10000,gpu
168,7515,4294,632,62.43429794311523,covid_spread_chance_pct,10,6,10000,gpu
93,5882,0,430,71.3865771484375,covid_spread_chance_pct,10,7,10000,gpu
86,5735,1,333,73.55191635131835,covid_spread_chance_pct,10,8,10000,gpu
216,8056,9080,749,55.02763977050782,covid_spread_chance_pct,10,9,10000,gpu
169,7520,4330,512,60.787714538574214,covid_spread_chance_pct,10,10,10000,gpu
97,5648,12,326,74.91318298339844,covid_spread_chance_pct,10,11,10000,gpu
97,5985,22,532,73.26829681396485,covid_spread_chance_pct,10,12,10000,gpu
186,7081,3597,385,67.58111236572266,covid_spread_chance_pct,10,13,10000,gpu
88,5549,0,363,74.54738098144531,covid_spread_chance_pct,10,14,10000,gpu
226,8318,9752,754,55.47544921875001,covid_spread_chance_pct,10,15,10000,gpu
99,5933,9,282,74.38384506225586,covid_spread_chance_pct,10,16,10000,gpu
213,8384,9782,772,54.32904357910155,covid_spread_chance_pct,10,17,10000,gpu
108,5408,26,336,74.38162841796874,covid_spread_chance_pct,10,18,10000,gpu
239,7874,8389,788,57.9044923400879,covid_spread_chance_pct,10,19,10000,gpu
101,5631,6,372,72.63439270019532,covid_spread_chance_pct,10,20,10000,gpu
170,6528,2920,430,68.45886352539063,covid_spread_chance_pct,10,21,10000,gpu
86,5945,0,390,70.37231613159179,covid_spread_chance_pct,10,22,10000,gpu
