runtime_days,infected,reinfected,long_covid_cases,min_productivity,param_name,param_value,run,agents,backend
40,5,0,0,99.6,covid_spread_chance_pct,2,0,1000,gpu
55,41,0,7,98.0,covid_spread_chance_pct,2,1,1000,gpu
44,7,0,0,99.5,covid_spread_chance_pct,2,2,1000,gpu
40,5,0,0,99.7,covid_spread_chance_pct,2,3,1000,gpu
42,7,0,0,99.5,covid_spread_chance_pct,2,4,1000,gpu
44,7,0,0,99.7,covid_spread_chance_pct,2,5,1000,gpu
46,6,0,0,99.8,covid_spread_chance_pct,2,6,1000,gpu
65,60,0,2,96.71379457712173,covid_spread_chance_pct,2,7,1000,gpu
44,9,0,0,99.1,covid_spread_chance_pct,2,8,1000,gpu
44,10,0,2,99.5,covid_spread_chance_pct,2,9,1000,gpu
40,5,0,0,99.6,covid_spread_chance_pct,2,10,1000,gpu
51,11,0,0,99.6,covid_spread_chance_pct,2,11,1000,gpu
42,6,0,0,99.8,covid_spread_chance_pct,2,12,1000,gpu
40,5,0,0,99.7,covid_spread_chance_pct,2,13,1000,gpu
47,13,0,3,99.2,covid_spread_chance_pct,2,14,1000,gpu
42,7,0,0,99.7,covid_spread_chance_pct,2,15,1000,gpu
45,11,0,2,99.5,covid_spread_chance_pct,2,16,1000,gpu
43,8,0,0,99.4,covid_spread_chance_pct,2,17,1000,gpu
53,15,0,2,99.0,covid_spread_chance_pct,2,18,1000,gpu
42,6,0,0,99.6,covid_spread_chance_pct,2,19,1000,gpu
49,15,0,1,98.8,covid_spread_chance_pct,2,20,1000,gpu
45,10,0,0,99.5,covid_spread_chance_pct,2,21,1000,gpu
47,19,0,3,98.6,covid_spread_chance_pct,2,22,1000,gpu
42,9,0,0,99.4,covid_spread_chance_pct,2,23,1000,gpu
46,9,0,0,99.4,covid_spread_chance_pct,2,24,1000,gpu
46,9,0,0,99.6,covid_spread_chance_pct,2,25,1000,gpu
44,9,0,0,99.3,covid_spread_chance_pct,2,26,1000,gpu
46,12,0,0,99.1,covid_spread_chance_pct,2,27,1000,gpu
73,66,0,6,98.50933046340943,covid_spread_chance_pct,2,28,1000,gpu
47,9,0,0,99.7,covid_spread_chance_pct,2,29,1000,gpu
47,8,0,1,99.7,covid_spread_chance_pct,2,30,1000,gpu
43,6,0,0,99.6,covid_spread_chance_pct,2,31,1000,gpu
48,7,0,0,99.6,covid_spread_chance_pct,2,32,1000,gpu
46,11,0,0,99.5,covid_spread_chance_pct,2,33,1000,gpu
40,5,0,1,99.7,covid_spread_chance_pct,2,34,1000,gpu
40,5,0,1,99.6,covid_spread_chance_pct,2,35,1000,gpu
55,35,0,1,97.18468642234802,covid_spread_chance_pct,2,36,1000,gpu
49,14,0,1,99.5,covid_spread_chance_pct,2,37,1000,gpu
52,19,0,3,99.3,covid_spread_chance_pct,2,38,1000,gpu
42,6,0,0,99.8,covid_spread_chance_pct,2,39,1000,gpu
44,6,0,2,99.7,covid_spread_chance_pct,2,40,1000,gpu
41,7,0,0,99.5,covid_spread_chance_pct,2,41,1000,gpu
42,6,0,0,99.6,covid_spread_chance_pct,2,42,1000,gpu
49,14,0,0,99.5,covid_spread_chance_pct,2,43,1000,gpu
40,5,0,1,99.54075805544853,covid_spread_chance_pct,2,44,1000,gpu
41,6,0,2,99.6,covid_spread_chance_pct,2,45,1000,gpu
48,23,0,0,98.2,covid_spread_chance_pct,2,46,1000,gpu
45,7,0,0,99.6,covid_spread_chance_pct,2,47,1000,gpu
45,10,0,0,99.3,covid_spread_chance_pct,2,48,1000,gpu
40,5,0,1,99.87049620449542,covid_spread_chance_pct,2,49,1000,gpu
40,5,0,0,99.6,covid_spread_chance_pct,5,0,1000,gpu
69,149,0,15,93.32637157440186,covid_spread_chance_pct,5,1,1000,gpu
74,107,0,10,94.69999999999999,covid_spread_chance_pct,5,2,1000,gpu
42,7,0,0,99.5,covid_spread_chance_pct,5,3,1000,gpu
42,9,0,0,99.4,covid_spread_chance_pct,5,4,1000,gpu
122,363,24,23,78.31827812194825,covid_spread_chance_pct,5,5,1000,gpu
47,11,0,1,99.4,covid_spread_chance_pct,5,6,1000,gpu
66,143,0,6,90.90742874145508,covid_spread_chance_pct,5,7,1000,gpu
82,169,0,10,90.21093425750732,covid_spread_chance_pct,5,8,1000,gpu
53,37,0,5,98.45254242420197,covid_spread_chance_pct,5,9,1000,gpu
49,11,0,1,99.6,covid_spread_chance_pct,5,10,1000,gpu
53,33,0,3,99.0,covid_spread_chance_pct,5,11,1000,gpu
89,289,0,29,86.59118766784668,covid_spread_chance_pct,5,12,1000,gpu
40,5,0,0,99.7,covid_spread_chance_pct,5,13,1000,gpu
66,91,0,11,95.61746435165406,covid_spread_chance_pct,5,14,1000,gpu
87,111,0,6,94.8352460861206,covid_spread_chance_pct,5,15,1000,gpu
60,72,0,7,97.7,covid_spread_chance_pct,5,16,1000,gpu
65,51,0,4,97.89999999999999,covid_spread_chance_pct,5,17,1000,gpu
63,64,0,5,97.5,covid_spread_chance_pct,5,18,1000,gpu
43,8,0,0,99.4,covid_spread_chance_pct,5,19,1000,gpu
57,48,0,3,97.07017035484314,covid_spread_chance_pct,5,20,1000,gpu
64,122,0,11,94.6088152885437,covid_spread_chance_pct,5,21,1000,gpu
99,346,3,26,85.45913314819336,covid_spread_chance_pct,5,22,1000,gpu
113,223,5,10,86.85109691619873,covid_spread_chance_pct,5,23,1000,gpu
96,248,2,14,88.00808782577515,covid_spread_chance_pct,5,24,1000,gpu
51,23,0,1,99.11066001653671,covid_spread_chance_pct,5,25,1000,gpu
44,11,0,2,99.2,covid_spread_chance_pct,5,26,1000,gpu
73,144,0,8,93.39999999999999,covid_spread_chance_pct,5,27,1000,gpu
73,290,0,31,90.77480545043946,covid_spread_chance_pct,5,28,1000,gpu
58,32,0,1,98.8,covid_spread_chance_pct,5,29,1000,gpu
51,18,0,1,98.94760321974755,covid_spread_chance_pct,5,30,1000,gpu
78,236,0,15,88.31385955810546,covid_spread_chance_pct,5,31,1000,gpu
74,128,0,6,93.10000000000001,covid_spread_chance_pct,5,32,1000,gpu
91,335,0,31,89.11824378967286,covid_spread_chance_pct,5,33,1000,gpu
69,39,0,5,98.45009188652038,covid_spread_chance_pct,5,34,1000,gpu
53,16,0,1,98.8,covid_spread_chance_pct,5,35,1000,gpu
55,85,0,3,94.6,covid_spread_chance_pct,5,36,1000,gpu
94,234,0,20,91.63676013946534,covid_spread_chance_pct,5,37,1000,gpu
90,177,0,13,92.32458152770995,covid_spread_chance_pct,5,38,1000,gpu
45,11,0,1,99.3,covid_spread_chance_pct,5,39,1000,gpu
55,52,0,6,97.53506388664246,covid_spread_chance_pct,5,40,1000,gpu
41,7,0,0,99.5,covid_spread_chance_pct,5,41,1000,gpu
52,20,0,0,99.2,covid_spread_chance_pct,5,42,1000,gpu
48,17,0,0,99.5,covid_spread_chance_pct,5,43,1000,gpu
47,7,0,1,99.54075805544853,covid_spread_chance_pct,5,44,1000,gpu
81,259,0,27,89.04141454696656,covid_spread_chance_pct,5,45,1000,gpu
86,235,0,24,88.14396829605103,covid_spread_chance_pct,5,46,1000,gpu
70,78,0,7,98.0,covid_spread_chance_pct,5,47,1000,gpu
83,213,0,18,90.21334809660911,covid_spread_chance_pct,5,48,1000,gpu
50,13,0,1,99.7,covid_spread_chance_pct,5,49,1000,gpu
76,583,0,32,74.13792190551757,covid_spread_chance_pct,10,0,1000,gpu
65,618,0,52,72.00393486022949,covid_spread_chance_pct,10,1,1000,gpu
79,419,0,25,83.01474742889404,covid_spread_chance_pct,10,2,1000,gpu
81,594,0,23,69.0373230934143,covid_spread_chance_pct,10,3,1000,gpu
78,483,0,37,76.31495037078857,covid_spread_chance_pct,10,4,1000,gpu
78,681,0,47,64.99188499450683,covid_spread_chance_pct,10,5,1000,gpu
81,533,0,34,77.99256210327148,covid_spread_chance_pct,10,6,1000,gpu
65,604,0,47,71.45052089691161,covid_spread_chance_pct,10,7,1000,gpu
82,548,0,36,73.41083145141602,covid_spread_chance_pct,10,8,1000,gpu
86,617,2,34,71.82194137573242,covid_spread_chance_pct,10,9,1000,gpu
74,504,0,36,81.39912185668945,covid_spread_chance_pct,10,10,1000,gpu
71,571,0,48,81.80000000000001,covid_spread_chance_pct,10,11,1000,gpu
70,672,0,63,70.45614776611329,covid_spread_chance_pct,10,12,1000,gpu
53,20,0,1,99.17463808059692,covid_spread_chance_pct,10,13,1000,gpu
70,589,0,40,71.97286567687988,covid_spread_chance_pct,10,14,1000,gpu
81,544,0,30,76.29551124572754,covid_spread_chance_pct,10,15,1000,gpu
67,460,0,28,81.60000000000001,covid_spread_chance_pct,10,16,1000,gpu
73,586,0,30,77.97904052734374,covid_spread_chance_pct,10,17,1000,gpu
76,562,0,40,70.64323387145997,covid_spread_chance_pct,10,18,1000,gpu
